date,equity,cash,positions
2024-01-08,95513.82,95513.82,0
2024-01-09,95513.82,95513.82,0
2024-01-10,95513.82,95513.82,0
2024-01-11,95513.82,95513.82,0
2024-01-12,95513.82,95513.82,0
2024-01-15,95513.82,95513.82,0
2024-01-16,95513.82,95513.82,0
2024-01-17,95513.82,95513.82,0
2024-01-18,95513.82,95513.82,0
2024-01-19,95513.82,95513.82,0
2024-01-22,95513.82,95513.82,0
2024-01-23,95513.82,95513.82,0
2024-01-24,95513.82,95513.82,0
2024-01-25,95513.82,95513.82,0
2024-01-26,95513.82,95513.82,0
2024-01-29,95513.82,95513.82,0
2024-01-30,95513.82,95513.82,0
2024-01-31,95513.82,95513.82,0
2024-02-01,95513.82,95513.82,0
2024-02-02,95513.82,95513.82,0
2024-02-05,95513.82,95513.82,0
2024-02-06,95513.82,95513.82,0
2024-02-07,95513.82,95513.82,0
2024-02-08,95513.82,95513.82,0
2024-02-19,95513.82,95513.82,0
2024-02-20,95513.82,95513.82,0
2024-02-21,95513.82,95513.82,0
2024-02-22,95513.82,95513.82,0
2024-02-23,95513.82,95513.82,0
2024-02-26,95513.82,95513.82,0
2024-02-27,95513.82,95513.82,0
2024-02-28,95396.94,57308.29,2
2024-02-29,97428.71,19149.52,4
2024-03-01,97661.05,351.53,5
2024-03-04,100499.18,351.53,5
2024-03-05,101265.29,0.0,5
2024-03-06,101734.56,6.04,5
2024-03-07,104095.64,22088.27,4
2024-03-08,103392.38,1269.14,5
2024-03-11,101961.38,19363.69,4
2024-03-12,100148.76,19519.81,4
2024-03-13,99291.98,59651.42,2
2024-03-14,98797.48,19934.63,4
2024-03-15,101010.99,0.0,5
2024-03-18,103004.78,1287.42,5
2024-03-19,101468.39,431.41,5
2024-03-20,102947.9,234.98,5
2024-03-21,102317.4,0.0,5
2024-03-22,102146.12,1692.05,5
2024-03-25,99653.22,59651.88,2
2024-03-26,99578.59,78619.59,1
2024-03-27,98949.04,98949.04,0
2024-03-28,98949.04,98949.04,0
2024-03-29,98949.04,98949.04,0
2024-04-01,98949.04,98949.04,0
2024-04-02,99907.64,59369.42,2
2024-04-03,99408.7,19406.37,4
2024-04-08,98769.09,59149.34,2
2024-04-09,98567.26,59149.34,2
2024-04-10,98185.21,59149.34,2
2024-04-11,98643.16,59149.34,2
2024-04-12,99950.95,99950.95,0
2024-04-15,99950.95,99950.95,0
2024-04-16,98491.54,59970.57,2
2024-04-17,99364.28,78944.31,1
2024-04-18,98459.23,39198.6,3
2024-04-19,100712.53,18885.57,4
2024-04-22,98617.43,19689.96,4
2024-04-23,97330.69,57573.09,2
2024-04-24,97601.79,57573.09,2
2024-04-25,97026.6,57573.09,2
2024-04-26,97454.88,97454.88,0
2024-04-29,97328.33,58472.93,2
2024-04-30,97141.93,38747.34,3
2024-05-06,98019.55,0.0,5
2024-05-07,97686.24,19830.36,4
2024-05-08,98642.2,293.11,5
2024-05-09,99980.83,1681.92,5
2024-05-10,100301.87,38317.27,3
2024-05-13,101512.25,0.0,5
2024-05-14,100880.83,1191.15,5
2024-05-15,99550.02,802.57,5
2024-05-16,97760.83,253.15,5
2024-05-17,98511.77,0.0,5
2024-05-20,99759.44,1761.32,5
2024-05-21,99075.51,1883.21,5
2024-05-22,97728.24,1046.67,5
2024-05-23,96045.01,18644.63,4
2024-05-24,95271.47,0.0,5
2024-05-27,95473.4,0.0,5
2024-05-28,94328.51,55736.51,2
2024-05-29,94552.3,74519.35,1
2024-05-30,95152.46,95152.46,0
2024-05-31,95152.46,95152.46,0
2024-06-03,95152.46,95152.46,0
2024-06-04,95152.46,95152.46,0
2024-06-05,95152.46,95152.46,0
2024-06-06,95152.46,95152.46,0
2024-06-07,95152.46,95152.46,0
2024-06-11,95152.46,95152.46,0
2024-06-12,95152.46,95152.46,0
2024-06-13,95152.46,95152.46,0
2024-06-14,95152.46,95152.46,0
2024-06-17,95152.46,95152.46,0
2024-06-18,95152.46,95152.46,0
2024-06-19,95152.46,95152.46,0
2024-06-20,95152.46,95152.46,0
2024-06-21,95152.46,95152.46,0
2024-06-24,95152.46,95152.46,0
2024-06-25,95152.46,95152.46,0
2024-06-26,95152.46,95152.46,0
2024-06-27,95152.46,95152.46,0
2024-06-28,95152.46,95152.46,0
2024-07-01,95152.46,95152.46,0
2024-07-02,95152.46,95152.46,0
2024-07-03,95152.46,95152.46,0
2024-07-04,95152.46,95152.46,0
2024-07-05,95152.46,95152.46,0
2024-07-08,95152.46,95152.46,0
2024-07-09,95152.46,95152.46,0
2024-07-10,95152.46,95152.46,0
2024-07-11,95152.46,95152.46,0
2024-07-12,95152.46,95152.46,0
2024-07-15,95152.46,95152.46,0
2024-07-16,95152.46,95152.46,0
2024-07-17,95152.46,95152.46,0
2024-07-18,95152.46,95152.46,0
2024-07-19,95152.46,95152.46,0
2024-07-22,95152.46,95152.46,0
2024-07-23,95152.46,95152.46,0
2024-07-24,95152.46,95152.46,0
2024-07-25,95152.46,95152.46,0
2024-07-26,95152.46,95152.46,0
2024-07-29,95152.46,95152.46,0
2024-07-30,95152.46,95152.46,0
2024-07-31,95152.46,95152.46,0
2024-08-01,95152.46,95152.46,0
2024-08-02,95152.46,95152.46,0
2024-08-05,95152.46,95152.46,0
2024-08-06,95152.46,95152.46,0
2024-08-07,95152.46,95152.46,0
2024-08-08,95152.46,95152.46,0
2024-08-09,95152.46,95152.46,0
2024-08-12,95152.46,95152.46,0
2024-08-13,95152.46,95152.46,0
2024-08-14,95152.46,95152.46,0
2024-08-15,95152.46,95152.46,0
2024-08-16,95152.46,95152.46,0
2024-08-19,95152.46,95152.46,0
2024-08-20,95152.46,95152.46,0
2024-08-21,95152.46,95152.46,0
2024-08-22,95152.46,95152.46,0
2024-08-23,95152.46,95152.46,0
2024-08-26,95152.46,95152.46,0
2024-08-27,95152.46,95152.46,0
2024-08-28,95152.46,95152.46,0
2024-08-29,95152.46,95152.46,0
2024-08-30,95152.46,95152.46,0
2024-09-02,95152.46,95152.46,0
2024-09-03,95152.46,95152.46,0
2024-09-04,95152.46,95152.46,0
2024-09-05,95152.46,95152.46,0
2024-09-06,95152.46,95152.46,0
2024-09-09,95152.46,95152.46,0
2024-09-10,95152.46,95152.46,0
2024-09-11,95152.46,95152.46,0
2024-09-12,95152.46,95152.46,0
2024-09-13,95152.46,95152.46,0
2024-09-18,95152.46,95152.46,0
2024-09-19,95152.46,95152.46,0
2024-09-20,95152.46,95152.46,0
2024-09-23,95152.46,95152.46,0
2024-09-24,95152.46,95152.46,0
2024-09-25,95152.46,95152.46,0
2024-09-26,95152.46,95152.46,0
2024-09-27,95152.46,95152.46,0
2024-09-30,95152.46,95152.46,0
2024-10-08,95152.46,95152.46,0
2024-10-09,95152.46,95152.46,0
2024-10-10,94085.5,57091.47,2
