date,equity,cash,positions
2025-01-02,106285.82,62611.69,2
2025-01-03,105801.42,83453.7,1
2025-01-06,106281.66,83453.7,1
2025-01-07,106915.1,106915.1,0
2025-01-08,106915.1,106915.1,0
2025-01-09,106915.1,106915.1,0
2025-01-10,106915.1,106915.1,0
2025-01-13,106915.1,106915.1,0
2025-01-14,106915.1,106915.1,0
2025-01-15,106915.1,106915.1,0
2025-01-16,106915.1,106915.1,0
2025-01-17,106915.1,106915.1,0
2025-01-20,106915.1,106915.1,0
2025-01-21,106915.1,106915.1,0
2025-01-22,106915.1,106915.1,0
2025-01-23,106915.1,106915.1,0
2025-01-24,106915.1,106915.1,0
2025-01-27,106915.1,106915.1,0
2025-02-05,106915.1,106915.1,0
2025-02-06,106915.1,106915.1,0
2025-02-07,106915.1,106915.1,0
2025-02-10,105998.58,64149.06,2
2025-02-11,107354.72,21749.63,4
2025-02-12,107764.9,19621.29,4
2025-02-13,105426.88,20141.84,4
2025-02-14,109056.69,346.72,5
2025-02-17,109515.78,1627.92,5
2025-02-18,108869.69,3181.21,5
2025-02-19,113099.4,1666.63,5
2025-02-20,113059.6,22711.78,4
2025-02-21,116509.98,630.9,5
2025-02-24,117262.99,2083.87,5
2025-02-25,116415.65,263.79,5
2025-02-26,116354.81,-0.0,5
2025-02-27,111754.35,0.0,5
2025-02-28,107658.95,65369.97,2
2025-03-03,108591.74,64230.02,2
2025-03-04,111417.47,20793.32,4
2025-03-05,110370.88,21240.84,4
2025-03-06,110912.86,0.0,5
2025-03-07,112857.36,28.97,5
2025-03-10,112147.55,1817.46,5
2025-03-11,110137.02,22506.17,4
2025-03-12,109394.27,284.05,5
2025-03-13,105027.09,40762.29,3
2025-03-14,106627.98,0.0,5
2025-03-17,105660.66,2402.67,5
2025-03-18,105515.21,1923.27,5
2025-03-19,104794.41,1786.24,5
2025-03-20,103679.77,0.0,5
2025-03-21,101834.85,19489.6,4
2025-03-24,100723.66,20196.63,4
2025-03-25,99810.53,0.0,5
2025-03-26,99349.13,478.1,5
2025-03-27,100791.21,1030.09,5
2025-03-28,98798.9,890.58,5
2025-03-31,97922.12,78286.67,1
2025-04-01,98186.36,78286.67,1
2025-04-02,97551.59,78286.67,1
2025-04-03,97390.62,97390.62,0
2025-04-07,97390.62,97390.62,0
2025-04-08,97390.62,97390.62,0
2025-04-09,97390.62,97390.62,0
2025-04-10,97390.62,97390.62,0
2025-04-11,97390.62,97390.62,0
2025-04-14,97390.62,97390.62,0
2025-04-15,97390.62,97390.62,0
2025-04-16,97390.62,97390.62,0
2025-04-17,97390.62,97390.62,0
2025-04-18,97390.62,97390.62,0
2025-04-21,97390.62,97390.62,0
2025-04-22,97390.62,97390.62,0
2025-04-23,97390.62,97390.62,0
2025-04-24,97390.62,97390.62,0
2025-04-25,97390.62,97390.62,0
2025-04-28,97390.62,97390.62,0
2025-04-29,97390.62,97390.62,0
2025-04-30,97390.62,97390.62,0
2025-05-06,97390.62,97390.62,0
2025-05-07,97390.62,97390.62,0
2025-05-08,97390.62,97390.62,0
2025-05-09,97390.62,97390.62,0
2025-05-12,97390.62,97390.62,0
2025-05-13,97407.09,58434.37,2
2025-05-14,98295.72,19471.54,4
2025-05-15,101595.58,0.0,5
2025-05-16,103001.85,20977.42,4
2025-05-19,102877.13,41199.77,3
2025-05-20,104825.4,20427.3,4
2025-05-21,106514.31,0.0,5
2025-05-22,105115.97,558.53,5
2025-05-23,104602.94,207.55,5
2025-05-26,104286.16,0.0,5
2025-05-27,102103.02,39992.99,3
2025-05-28,101532.31,39992.99,3
2025-05-29,101791.74,39992.99,3
2025-05-30,102516.83,20241.19,4
2025-06-03,104209.59,62726.26,2
2025-06-04,105207.1,21042.43,4
2025-06-05,104407.63,1.0,5
2025-06-06,106906.75,22524.48,4
2025-06-09,113278.5,2284.97,5
2025-06-10,113354.65,573.58,5
2025-06-11,115470.96,1186.87,5
2025-06-12,115052.52,1584.42,5
2025-06-13,112075.15,407.29,5
2025-06-16,109901.23,44051.32,3
2025-06-17,107479.71,21151.62,4
2025-06-18,106693.49,41544.15,3
2025-06-19,106037.67,0.0,5
2025-06-20,106036.44,239.24,5
2025-06-23,104321.48,355.33,5
2025-06-24,104526.55,806.73,5
2025-06-25,103076.01,40962.19,3
2025-06-26,103905.44,0.0,5
2025-06-27,102429.64,0.0,5
2025-06-30,107654.33,42398.01,3
2025-07-01,108251.81,43517.3,3
2025-07-02,107959.57,216.58,5
2025-07-03,109310.23,1163.18,5
2025-07-04,114876.07,24998.1,4
2025-07-07,115648.34,48542.3,3
2025-07-08,119679.63,23568.18,4
2025-07-09,119611.52,0.0,5
2025-07-10,118129.35,0.0,5
2025-07-11,117414.26,468.6,5
2025-07-14,117078.43,23682.71,4
2025-07-15,119727.23,44510.23,3
2025-07-16,120906.97,48180.21,3
2025-07-17,122014.63,25744.55,4
2025-07-18,119429.19,24474.98,4
2025-07-21,120847.02,0.0,5
2025-07-22,120818.72,0.0,5
2025-07-23,121508.86,49057.42,3
2025-07-24,124384.22,23897.83,4
2025-07-25,126140.01,0.0,5
2025-07-28,130341.3,27956.04,4
2025-07-29,131300.37,52207.4,3
2025-07-30,131678.27,27172.19,4
2025-07-31,129418.67,26257.71,4
2025-08-01,127427.25,24815.63,4
2025-08-04,128097.7,23023.03,4
