ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2020-05-19,3956.2495,3963.7754,3966.8518,3944.0715,3922.9117,33.3378,0.8498,94015291.0,159886222.4022
000300.SH,2020-05-20,3935.222,3955.7145,3955.7145,3923.9213,3956.2495,-21.0275,-0.5315,100791150.0,157102533.2761
000300.SH,2020-05-21,3913.7949,3950.5981,3951.743,3907.5788,3935.222,-21.4271,-0.5445,94861033.0,149154142.2578
000300.SH,2020-05-22,3824.064,3907.5761,3907.5761,3818.1488,3913.7949,-89.7309,-2.2927,103378360.0,157286504.9863
000300.SH,2020-05-25,3829.3245,3828.3206,3835.6333,3800.1796,3824.064,5.2605,0.1376,79033326.0,127011917.7163
000300.SH,2020-05-26,3872.7701,3850.0009,3874.7484,3844.4776,3829.3245,43.4456,1.1345,77448076.0,125445619.3168
000300.SH,2020-05-27,3845.6135,3873.6984,3873.6984,3838.4247,3872.7701,-27.1566,-0.7012,83711831.0,123737501.1645
000300.SH,2020-05-28,3856.6324,3848.4892,3885.4211,3818.4318,3845.6135,11.0189,0.2865,93064054.0,139108407.7923
000300.SH,2020-05-29,3867.0232,3838.3769,3872.3031,3830.4185,3856.6324,10.3908,0.2694,93813832.0,135658136.0282
000300.SH,2020-06-01,3971.3402,3901.7263,3976.3151,3901.7263,3867.0232,104.317,2.6976,136456652.0,208436512.9451
000300.SH,2020-06-02,3983.5677,3969.9521,3991.7761,3958.9774,3971.3402,12.2275,0.3079,144303060.0,195563304.2563
000300.SH,2020-06-03,3983.6477,4001.1708,4018.6759,3982.9299,3983.5677,0.08,0.002,136597483.0,200882767.6769
000300.SH,2020-06-04,3982.1851,3998.1636,3999.8051,3968.5723,3983.6477,-1.4626,-0.0367,104277737.0,149057855.8375
000300.SH,2020-06-05,4001.2509,3988.2239,4001.2509,3967.926,3982.1851,19.0658,0.4788,102443942.0,154311342.9818
000300.SH,2020-06-08,4021.9549,4023.606,4050.2213,4016.1015,4001.2509,20.704,0.5174,137925813.0,193047518.6876
000300.SH,2020-06-09,4047.0293,4027.5613,4052.1557,4016.3387,4021.9549,25.0744,0.6234,115304479.0,166533966.01
000300.SH,2020-06-10,4039.7051,4046.2317,4046.2317,4024.4185,4047.0293,-7.3242,-0.181,112265728.0,166778642.3662
000300.SH,2020-06-11,3995.8846,4031.7396,4043.0123,3979.7522,4039.7051,-43.8205,-1.0847,127308941.0,197079441.8611
000300.SH,2020-06-12,4003.0829,3931.6236,4011.0591,3927.2491,3995.8846,7.1983,0.1801,134166649.0,193504046.7423
000300.SH,2020-06-15,3954.9883,3982.9672,4007.1396,3954.9883,4003.0829,-48.0946,-1.2014,131297860.0,211125336.1438
000300.SH,2020-06-16,4014.5702,3995.5786,4014.5702,3987.8637,3954.9883,59.5819,1.5065,111051539.0,185104029.1589
000300.SH,2020-06-17,4017.5941,4018.6094,4018.6094,3992.1339,4014.5702,3.0239,0.0753,105605799.0,176977503.6112
000300.SH,2020-06-18,4044.3842,4009.7831,4047.5566,4000.9008,4017.5941,26.7901,0.6668,138148761.0,210192918.1462
000300.SH,2020-06-19,4098.7095,4047.0483,4109.3602,4043.4925,4044.3842,54.3253,1.3432,152946990.0,255549797.2996
000300.SH,2020-06-22,4102.0459,4097.5071,4126.9421,4088.7822,4098.7095,3.3364,0.0814,155829465.0,259200520.7257
000300.SH,2020-06-23,4121.7944,4098.0373,4124.725,4080.7533,4102.0459,19.7485,0.4814,129229510.0,234806510.8345
000300.SH,2020-06-24,4138.9895,4128.1003,4144.6782,4123.3582,4121.7944,17.1951,0.4172,121712465.0,224551430.008
000300.SH,2020-06-29,4109.7164,4127.9348,4137.3696,4092.5352,4138.9895,-29.2731,-0.7073,130865854.0,226522059.7629
000300.SH,2020-06-30,4163.9637,4130.0028,4174.4236,4129.7754,4109.7164,54.2473,1.32,125933521.0,227935704.4889
000300.SH,2020-07-01,4247.7835,4172.6425,4247.7835,4163.4954,4163.9637,83.8198,2.013,169990456.0,305711799.7619
000300.SH,2020-07-02,4335.8445,4239.408,4340.1039,4238.1164,4247.7835,88.061,2.0731,252939368.0,399571526.6953
000300.SH,2020-07-03,4419.5955,4353.1937,4419.5955,4348.4535,4335.8445,83.751,1.9316,290485539.0,442335024.2661
000300.SH,2020-07-06,4670.0949,4465.8081,4678.1121,4465.8081,4419.5955,250.4994,5.6679,405821025.0,597438217.7156
000300.SH,2020-07-07,4698.1264,4739.6104,4796.3155,4688.0574,4670.0949,28.0315,0.6002,406008553.0,635254742.706
000300.SH,2020-07-08,4774.0042,4692.8621,4803.3643,4670.6501,4698.1264,75.8778,1.6151,348074847.0,532849825.9645
000300.SH,2020-07-09,4840.7712,4770.0769,4854.1201,4757.2943,4774.0042,66.767,1.3986,351046893.0,556718732.0989
000300.SH,2020-07-10,4753.1333,4796.0873,4821.3745,4734.4725,4840.7712,-87.6379,-1.8104,316949651.0,510472055.0959
